type,type2,type3,region_2024,unit,election,list,lists_national,listmin,listmax,candidates,ifp_candidates,ifp_seats,dm,as,as2,enpv,enps,enpv_national,enps_national,sp,spm,logmag,polarization_district,polarization_national,dif,dif2,ethnic_frac,ethnic_number,ethnic_presence,av_id,Rae,LH,Lijphart_1,Lijphart_2,Gallagher,Cox_Shugart,Mainwaring_Jones,Chhibber_Kollman,votes,subunits,percent_ind
Concejales,Concejales 2004-2021,Concejales - 2004,13,Ñuñoa,2004,3,5,7.319562736,49.13403284,22,0,0,8,8,2144,2.29,2,2.43,2.63,64,2,2.079441542,2.952244764,2.993691376,0.71,0.29,0.12779897,1.462898521,6.770650749,5.273750988,0.05,0.07,0.07,0.06,0.27,0.78,88.457,-0.035,91112,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,11,O'Higgins,2004,2,5,40.24390244,59.75609756,12,0,0,6,6,2144,1.93,1.8,2.43,2.63,36,1.817120593,1.791759469,2.164336704,2.993691376,0.07,0.13,0.42861568,8.855291577,28.96,5.137195122,0.07,0.07,0.07,0.07,0.26,0.59,88.457,-0.035,246,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,6,Olivar,2004,5,5,2.532056484,40.3830547,17,2,0,6,6,2144,2.95,2.57,2.43,2.63,36,1.817120593,1.791759469,3.513439231,2.993691376,2.05,0.38,0.13960971,2.561815971,7.495590829,5.000162603,0.04,0.11,0.1,0.08,0.33,0.83,88.457,-0.035,6161,1,11.76470588
Concejales,Concejales 2004-2021,Concejales - 2004,2,Ollague,2004,4,5,5.543478261,43.47826087,16,1,0,6,6,2144,2.67,2,2.43,2.63,36,1.817120593,1.791759469,3.139134569,2.993691376,1.33,0.67,0.569831426,67.29559748,66.97819315,5.010623128,0.07,0.15,0.09,0.11,0.39,0.7,88.457,-0.035,920,1,6.25
Concejales,Concejales 2004-2021,Concejales - 2004,5,Olmue,2004,4,5,1.510322849,46.48746016,18,1,0,6,6,2144,2.6,2.57,2.43,2.63,36,1.817120593,1.791759469,3.2422126,2.993691376,1.4,0.03,0.103643348,0.786954981,5.429321763,5.005524883,0.04,0.07,0.06,0.05,0.27,0.96,88.457,-0.035,7217,1,5.555555556
Concejales,Concejales 2004-2021,Concejales - 2004,10,Osorno,2004,4,5,1.695109193,54.54753498,20,0,0,8,8,2144,2.24,1.88,2.43,2.63,64,2,2.079441542,2.590267612,2.993691376,1.76,0.36,0.418970956,8.713524661,29.26854949,5.235329214,0.04,0.08,0.08,0.07,0.28,0.83,88.457,-0.035,61176,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,4,Ovalle,2004,3,5,7.548625708,64.31099167,15,0,0,6,6,2144,2.01,1.8,2.43,2.63,36,1.817120593,1.791759469,2.353999202,2.993691376,0.99,0.21,0.184539123,0.599455596,9.908152994,4.762838251,0.05,0.08,0.08,0.08,0.27,0.85,88.457,-0.035,37583,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,13,Padre Hurtado,2004,4,5,2.881152461,44.01260504,19,1,0,6,6,2144,2.97,2.57,2.43,2.63,36,1.817120593,1.791759469,3.512665666,2.993691376,1.03,0.4,0.19011987,3.103074701,10.53280632,4.960066126,0.05,0.11,0.08,0.07,0.33,0.76,88.457,-0.035,13328,1,5.263157895
Concejales,Concejales 2004-2021,Concejales - 2004,9,Padre Las Casas,2004,4,5,1.801666165,51.570812,15,1,0,6,6,2144,2.27,2,2.43,2.63,36,1.817120593,1.791759469,2.664372879,2.993691376,1.73,0.27,0.506613927,40.83510503,48.86241232,5.009962591,0.04,0.09,0.09,0.08,0.29,0.86,88.457,-0.035,19926,1,6.666666667
Concejales,Concejales 2004-2021,Concejales - 2004,4,Paihuano,2004,4,5,0.73800738,55.06355064,14,1,0,6,6,2144,2.15,1.8,2.43,2.63,36,1.817120593,1.791759469,2.259189678,2.993691376,1.85,0.35,0.153001762,1.583493282,8.094285079,5.013346762,0.06,0.12,0.12,0.11,0.34,0.82,88.457,-0.035,2439,1,7.142857143
Concejales,Concejales 2004-2021,Concejales - 2004,14,Paillaco,2004,6,5,1.996958946,31.43436391,21,3,1,6,6,2144,4.29,3.6,2.43,2.63,36,1.817120593,1.791759469,3.801336833,2.993691376,1.71,0.69,0.318466711,4.896813432,19.5710323,4.998172974,0.03,0.1,0.07,0.05,0.32,0.76,88.457,-0.035,9865,1,14.28571429
Concejales,Concejales 2004-2021,Concejales - 2004,13,Paine,2004,4,5,1.994950745,51.03212712,17,1,0,6,6,2144,2.38,2,2.43,2.63,36,1.817120593,1.791759469,2.84296475,2.993691376,1.62,0.38,0.157738335,1.904933237,8.547396198,5.012007826,0.05,0.11,0.11,0.09,0.33,0.8,88.457,-0.035,20201,1,5.882352941
Concejales,Concejales 2004-2021,Concejales - 2004,10,Palena,2004,3,5,2.02247191,51.23595506,13,1,0,6,6,2144,2.08,2,2.43,2.63,36,1.817120593,1.791759469,2.24526555,2.993691376,0.92,0.08,0.317582692,6.568047337,19.57919345,5.060314351,0.02,0.03,0.03,0.03,0.18,0.94,88.457,-0.035,890,1,7.692307692
Concejales,Concejales 2004-2021,Concejales - 2004,6,Palmilla,2004,3,5,4.411502054,54.58117521,15,0,0,6,6,2144,2.14,2,2.43,2.63,36,1.817120593,1.791759469,2.562978788,2.993691376,0.86,0.14,0.093292309,0.669642857,4.887037334,5.25754599,0.06,0.09,0.09,0.08,0.3,0.87,88.457,-0.035,5599,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,14,Panguipulli,2004,3,5,1.835405565,49.82978094,15,0,0,6,6,2144,2.07,2,2.43,2.63,36,1.817120593,1.791759469,2.247504439,2.993691376,0.93,0.07,0.497090304,30.84783458,42.77193897,5.426713292,0.01,0.02,0.02,0.02,0.14,0.94,88.457,-0.035,13512,1,0
Concejales,Concejales 2004-2021,Concejales - 2004,5,Panquehue,2004,4,5,6.860706861,59.96435996,16,1,0,6,6,2144,2.33,1.38,2.43,2.63,36,1.817120593,1.791759469,2.38407408,2.993691376,1.67,0.95,0.084077161,0.593878483,4.372336037,4.992299559,0.12,0.23,0.23,0.2,0.48,0.61,88.457,-0.035,3367,1,6.25
Concejales,Concejales 2004-2021,Concejales - 2004,5,Papudo,2004,4,5,2.265575834,52.07677785,14,1,0,6,6,2144,2.23,2,2.43,2.63,36,1.817120593,1.791759469,2.629401934,2.993691376,1.77,0.23,0.163793986,0.802951389,8.779106356,5.042783617,0.04,0.08,0.08,0.07,0.28,0.88,88.457,-0.035,3178,1,7.142857143
